agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
"700","train replacement bus operators","http://transportnsw.info","Australia/Sydney","EN",""
"701","train replacement bus operators","http://transportnsw.info","Australia/Sydney","EN",""
"2501","Busways R1","http://transportnsw.info","Australia/Sydney","EN",""
"7077","Busways R1","http://transportnsw.info","Australia/Sydney","EN",""
"2502","Transit Systems NSW SW","http://transportnsw.info","Australia/Sydney","EN",""
"7073","Transit Systems NSW SW","http://transportnsw.info","Australia/Sydney","EN",""
"2503","Transit Systems NSW","http://transportnsw.info","Australia/Sydney","EN",""
"7063","Transit Systems NSW","http://transportnsw.info","Australia/Sydney","EN",""
"2504","CDC NSW R4","http://transportnsw.info","Australia/Sydney","EN",""
"7057","CDC NSW R4","http://transportnsw.info","Australia/Sydney","EN",""
"2507","Busways North West","http://transportnsw.info","Australia/Sydney","EN",""
"7051","Busways North West","http://transportnsw.info","Australia/Sydney","EN",""
"x0001","Sydney Trains","http://transportnsw.info","Australia/Sydney","EN",""
"X0000","NSW Trains","http://transportnsw.info","Australia/Sydney","EN",""
"2606","Busways OMR6","http://transportnsw.info","Australia/Sydney","EN",""
"2607","Redbus CDC NSW","http://transportnsw.info","Australia/Sydney","EN",""
"7082","Redbus CDC NSW","http://transportnsw.info","Australia/Sydney","EN",""
"2508","Keolis Downer Northern Beaches","http://transportnsw.info","Australia/Sydney","EN",""
"SMNW","Sydney Metro","http://transportnsw.info","Australia/Sydney","EN",""
"2509","Transdev John Holland Buses","http://transportnsw.info","Australia/Sydney","EN",""
"7054","Transdev John Holland Buses","http://transportnsw.info","Australia/Sydney","EN",""
"7056","Transdev John Holland Buses","http://transportnsw.info","Australia/Sydney","EN",""
"2510","U-Go Mobility","http://transportnsw.info","Australia/Sydney","EN",""
"7066","U-Go Mobility","http://transportnsw.info","Australia/Sydney","EN",""
"24561","Premier Illawarra","http://transportnsw.info","Australia/Sydney","EN",""
"B0471","Northern Rivers Buslines","http://transportnsw.info","Australia/Sydney","EN",""
"2514","CDC NSW R14","http://transportnsw.info","Australia/Sydney","EN",""
"7083","Transit Systems NSW","http://transportnsw.info","Australia/Sydney","EN",""
"7084","U-Go Mobility","http://transportnsw.info","Australia/Sydney","EN",""
"305","Captain Cook Cruises","http://transportnsw.info","Australia/Sydney","EN",""
"301","Palm Beach Ferry Service","http://transportnsw.info","Australia/Sydney","EN",""
"304","Church Point Ferry Service","http://transportnsw.info","Australia/Sydney","EN",""
"302","Brooklyn Ferry Service","http://transportnsw.info","Australia/Sydney","EN",""
"303","Central Coast Ferries","http://transportnsw.info","Australia/Sydney","EN",""
"CRF","Clarence River Ferries","http://transportnsw.info","Australia/Sydney","EN",""
"300","Cronulla Ferries","http://transportnsw.info","Australia/Sydney","EN",""
"2447","Rover Coaches","http://transportnsw.info","Australia/Sydney","EN",""
"2448","Hunter Valley Buses","http://transportnsw.info","Australia/Sydney","EN",""
"7024","Hunter Valley Buses","http://transportnsw.info","Australia/Sydney","EN",""
"2449","Port Stephens Coaches","http://transportnsw.info","Australia/Sydney","EN",""
"MFF","Manly Fast Ferries","http://transportnsw.info","Australia/Sydney","EN",""
"6003","Dubbo Buslines","http://transportnsw.info","Australia/Sydney","EN",""
"5013","M J & M L McEVOY","http://transportnsw.info","Australia/Sydney","EN",""
"5606","Grace Coaches","http://transportnsw.info","Australia/Sydney","EN",""
"5902","Ogdens Coaches","http://transportnsw.info","Australia/Sydney","EN",""
"5672","Merv Hennock and Sons Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5454","Langley's Coaches","http://transportnsw.info","Australia/Sydney","EN",""
"5288","Prugger's Bus and Coach Service","http://transportnsw.info","Australia/Sydney","EN",""
"5671","G & A Parker","http://transportnsw.info","Australia/Sydney","EN",""
"5026","Hogden, Warren","http://transportnsw.info","Australia/Sydney","EN",""
"5086","Langley's Coaches","http://transportnsw.info","Australia/Sydney","EN",""
"5423","Havercroft, Mathew Thomas","http://transportnsw.info","Australia/Sydney","EN",""
"5683","Western Road Liners","http://transportnsw.info","Australia/Sydney","EN",""
"5083","PM & SJ Gray Bus Services Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5542","Paul Jeffery","http://transportnsw.info","Australia/Sydney","EN",""
"5747","R.J Sams & W.A Sharkey","http://transportnsw.info","Australia/Sydney","EN",""
"5471","N Best","http://transportnsw.info","Australia/Sydney","EN",""
"5489","Cabonne Bus Lines","http://transportnsw.info","Australia/Sydney","EN",""
"5673","Forbes Buslines","http://transportnsw.info","Australia/Sydney","EN",""
"5670","Bushtrack Bus Company Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5841","Forbes Buslines","http://transportnsw.info","Australia/Sydney","EN",""
"5880","Western Road Liners","http://transportnsw.info","Australia/Sydney","EN",""
"5657","Cumnock Bus Company Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5659","B & C Stewart","http://transportnsw.info","Australia/Sydney","EN",""
"5198","Cumnock Bus Company Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5607","Vanes Bus Service","http://transportnsw.info","Australia/Sydney","EN",""
"5322","Condobolin Buses","http://transportnsw.info","Australia/Sydney","EN",""
"5534","C W & A M Martin","http://transportnsw.info","Australia/Sydney","EN",""
"5331","Lajeanca Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5688","Curr Buses Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5729","LJ Grindrod, ML Grindrod & YO Grindrod","http://transportnsw.info","Australia/Sydney","EN",""
"5105","Court, Michael","http://transportnsw.info","Australia/Sydney","EN",""
"5511","Coolah Valley Buses Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"6063","Langley's Coaches","http://transportnsw.info","Australia/Sydney","EN",""
"5604","P & N Buses Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5644","McConnachie Bus Service","http://transportnsw.info","Australia/Sydney","EN",""
"5229","P A Wyner","http://transportnsw.info","Australia/Sydney","EN",""
"5645","Haase, Ian","http://transportnsw.info","Australia/Sydney","EN",""
"5628","NRC Buses Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5058","Leeson, Matthew","http://transportnsw.info","Australia/Sydney","EN",""
"5168","Bushtrack Bus Company Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5543","Curr Buses Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5163","S & KJ Beer","http://transportnsw.info","Australia/Sydney","EN",""
"5862","Burn, Barry","http://transportnsw.info","Australia/Sydney","EN",""
"5461","Burn, Barry","http://transportnsw.info","Australia/Sydney","EN",""
"5480","DKCH O'Connor Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5022","CLMM Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5468","Skelly's Bus","http://transportnsw.info","Australia/Sydney","EN",""
"5923","W A Darcy","http://transportnsw.info","Australia/Sydney","EN",""
"5507","Bushtrack Bus Company Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5512","Bushtrack Bus Company Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5763","David Wright","http://transportnsw.info","Australia/Sydney","EN",""
"5789","PA & SN Livingstone","http://transportnsw.info","Australia/Sydney","EN",""
"5510","Deaman, Troy","http://transportnsw.info","Australia/Sydney","EN",""
"5385","Coonabarabran Town Service","http://transportnsw.info","Australia/Sydney","EN",""
"5107","BR & PA Stephens","http://transportnsw.info","Australia/Sydney","EN",""
"5297","Rhonda Horsburgh","http://transportnsw.info","Australia/Sydney","EN",""
"5516","Cabonne Bus Lines","http://transportnsw.info","Australia/Sydney","EN",""
"5402","Cabonne Bus Lines","http://transportnsw.info","Australia/Sydney","EN",""
"5602","Matthews, Lyndon","http://transportnsw.info","Australia/Sydney","EN",""
"5514","Cabonne Bus Lines","http://transportnsw.info","Australia/Sydney","EN",""
"5178","Gooloogong Bus Service","http://transportnsw.info","Australia/Sydney","EN",""
"5364","Langley's Coaches","http://transportnsw.info","Australia/Sydney","EN",""
"5087","ET & DF Wright & Sons Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5500","Dubbo Buslines","http://transportnsw.info","Australia/Sydney","EN",""
"5593","Wilson, Susan Gai","http://transportnsw.info","Australia/Sydney","EN",""
"5103","A & M A Sciberras","http://transportnsw.info","Australia/Sydney","EN",""
"5248","Manna Station Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5561","Fuller Bros","http://transportnsw.info","Australia/Sydney","EN",""
"5021","J.M. Sams & J.L. Sams","http://transportnsw.info","Australia/Sydney","EN",""
"5012","McWhirter's Bus Service","http://transportnsw.info","Australia/Sydney","EN",""
"5420","CM & LM Ward","http://transportnsw.info","Australia/Sydney","EN",""
"5341","Geographical Computing Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5414","D J & C L Wesley","http://transportnsw.info","Australia/Sydney","EN",""
"5132","J A Twomey Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5702","S & KJ Beer","http://transportnsw.info","Australia/Sydney","EN",""
"5226","Jack James & Sons","http://transportnsw.info","Australia/Sydney","EN",""
"5141","Tyack, Kelly","http://transportnsw.info","Australia/Sydney","EN",""
"6061","NRC Buses Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5101","BA & LB Imrie","http://transportnsw.info","Australia/Sydney","EN",""
"5200","Stephen Kenneth & Jennifer Margaret Ward","http://transportnsw.info","Australia/Sydney","EN",""
"5082","Langley's Coaches","http://transportnsw.info","Australia/Sydney","EN",""
"5028","Kagram Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5921","KS Hall Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5363","T R & J M Lewis","http://transportnsw.info","Australia/Sydney","EN",""
"5291","John Matthews","http://transportnsw.info","Australia/Sydney","EN",""
"5001","Beveridge, Darren","http://transportnsw.info","Australia/Sydney","EN",""
"5410","AW & CE Mulligan","http://transportnsw.info","Australia/Sydney","EN",""
"5024","Leeson, Matthew","http://transportnsw.info","Australia/Sydney","EN",""
"5820","AR & LM Walsh","http://transportnsw.info","Australia/Sydney","EN",""
"5085","S A & K Edwards Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5786","Bourke Bus Service","http://transportnsw.info","Australia/Sydney","EN",""
"5622","McGRATH, Richard Douglas & Shirley Anne","http://transportnsw.info","Australia/Sydney","EN",""
"5076","BusBiz","http://transportnsw.info","Australia/Sydney","EN",""
"5121","Leighjay Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5526","Spence's Coaches Western","http://transportnsw.info","Australia/Sydney","EN",""
"5979","CDC Mildura Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5863","CDC Mildura Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5405","CDC Broken Hill Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5203","Moore's Bus Lines Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5701","Bulzomi Bros Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"6080","Warnock, Judy Masman","http://transportnsw.info","Australia/Sydney","EN",""
"5905","BusBiz","http://transportnsw.info","Australia/Sydney","EN",""
"5762","B and TE Loeve","http://transportnsw.info","Australia/Sydney","EN",""
"5624","Patbeau Disel Jockeys Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5307","D.A & W.K. Brett","http://transportnsw.info","Australia/Sydney","EN",""
"5221","Oxenbridge, Beth Marie","http://transportnsw.info","Australia/Sydney","EN",""
"5088","Stanton, Reginald","http://transportnsw.info","Australia/Sydney","EN",""
"5080","Cutler, Susan Lee","http://transportnsw.info","Australia/Sydney","EN",""
"5004","COOK, Rebecca","http://transportnsw.info","Australia/Sydney","EN",""
"5233","McAtamney, Peter","http://transportnsw.info","Australia/Sydney","EN",""
"5724","Brett Stevens","http://transportnsw.info","Australia/Sydney","EN",""
"6082","Masman, Alan","http://transportnsw.info","Australia/Sydney","EN",""
"5304","Brett Stevens","http://transportnsw.info","Australia/Sydney","EN",""
"5068","Caraboo Farming Services Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5941","Hopes Bus Service Pty Limited","http://transportnsw.info","Australia/Sydney","EN",""
"5625","Boonoona Design Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5108","DKD Bus Services Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5942","Forest Coach Lines","http://transportnsw.info","Australia/Sydney","EN",""
"5524","Spindlebox Buses","http://transportnsw.info","Australia/Sydney","EN",""
"5940","Hopes Bus Service Pty Limited","http://transportnsw.info","Australia/Sydney","EN",""
"5519","Cavanagh Bus & Coach Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5961","Tamworth Buslines","http://transportnsw.info","Australia/Sydney","EN",""
"5019","AK Quinn Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5280","McCoskers Bus Service","http://transportnsw.info","Australia/Sydney","EN",""
"5945","Cavanagh Bus & Coach Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5589","The Oxley Explorer","http://transportnsw.info","Australia/Sydney","EN",""
"5394","Hancock Rural Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5504","Lynette Evans Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5220","Hill, Robert","http://transportnsw.info","Australia/Sydney","EN",""
"5744","Edwards Coaches","http://transportnsw.info","Australia/Sydney","EN",""
"5235","McNamara, Sacha","http://transportnsw.info","Australia/Sydney","EN",""
"5587","The Oxley Explorer","http://transportnsw.info","Australia/Sydney","EN",""
"5222","Camrose Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5368","GB & SL Howlett Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5723","Haires Bus Service Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5764","Tamworth Buslines","http://transportnsw.info","Australia/Sydney","EN",""
"5741","M J & K Holstein","http://transportnsw.info","Australia/Sydney","EN",""
"5960","Cavanagh Bus & Coach Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5035","Bendemeer Express","http://transportnsw.info","Australia/Sydney","EN",""
"5608","Forest Coach Lines","http://transportnsw.info","Australia/Sydney","EN",""
"5760","Wytaliba Bus Service","http://transportnsw.info","Australia/Sydney","EN",""
"5601","Hopes Bus Service Pty Limited","http://transportnsw.info","Australia/Sydney","EN",""
"5740","Yallaroi Crop Spraying Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5623","HECSB Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5720","Lister Johnson Pty Ltd","http://transportnsw.info","Australia/Sydney","EN",""
"5011","O'Neills Bus Service","http://transportnsw.info","Australia/Sydney","EN",""
"5731","Hannafords Coaches","http://transportnsw.info","Australia/Sydney","EN",""
"5943","Hannafords Coaches","http://transportnsw.info","Australia/Sydney","EN",""
