service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"AA51+1","1","1","1","1","1","0","0","20250504","20250802"
"AA51#1+1","1","1","1","1","1","0","0","20250504","20250802"
"AA55+1","1","1","1","1","0","0","0","20250505","20250508"
"AA73+1","0","0","0","1","0","0","0","20250508","20250508"
"AA76+1","0","1","1","1","1","0","0","20250506","20250509"
"AA93+1","1","1","0","0","0","0","0","20250505","20250506"
"AB50+1","0","0","0","0","0","1","0","20250510","20250511"
"AB50#1+1","0","0","0","0","0","1","0","20250517","20250517"
"AB50#2+1","0","0","0","0","0","1","0","20250607","20250607"
"AB50#3+1","0","0","0","0","0","1","0","20250712","20250712"
"AB50#4+1","0","0","0","0","0","1","0","20250802","20250802"
"AB51+1","0","0","0","0","0","0","1","20250510","20250511"
"AB52+1","0","0","0","0","0","0","1","20250504","20250504"
"AB52#1+1","0","0","0","0","0","1","1","20250510","20250511"
"AB52#2+1","0","0","0","0","0","1","1","20250517","20250518"
"AB52#3+1","0","0","0","0","0","0","1","20250504","20250505"
"AB52#4+1","0","0","0","0","0","0","1","20250504","20250504"
"AB72+1","0","0","0","0","0","1","1","20250504","20250802"
"AB72#1+1","0","0","0","0","0","1","1","20250504","20250802"
"TW1+1","1","0","0","0","0","0","0","20250504","20250505"
"TA+2","1","1","1","1","1","1","1","20250504","20250802"
"TA+1j+2","0","0","1","0","0","0","0","20250504","20250802"
"TA+1j#1+2","0","0","1","0","0","0","0","20250504","20250802"
"TA+dv000+2","0","0","0","0","0","1","1","20250504","20250802"
"TA+ha+2","0","0","0","1","0","0","0","20250504","20250802"
"TA+hr+2","1","1","1","1","0","0","0","20250504","20250802"
"TA+hr#1+2","1","1","1","1","0","0","0","20250504","20250802"
"TA+ij+2","1","1","1","1","1","0","0","20250504","20250802"
"TA+ij#1+2","1","1","1","1","1","0","0","20250504","20250802"
"TA+ik+2","1","1","1","1","1","0","0","20250504","20250802"
"TA+ik#1+2","1","1","1","1","1","0","0","20250504","20250802"
"TA+ni+2","1","1","0","1","1","0","0","20250504","20250802"
"TA+R118+2","0","0","0","0","0","0","1","20250504","20250504"
"TA+R124+2","1","1","1","1","0","0","0","20250504","20250802"
"TA+R52+2","1","1","1","1","1","0","0","20250504","20250802"
"TA+R52#1+2","1","1","1","1","1","0","0","20250504","20250802"
"TA+R53+2","1","1","1","1","1","0","0","20250504","20250802"
"TA+R53#1+2","1","1","1","1","1","0","0","20250504","20250802"
"TA+R59+2","0","0","0","0","1","0","0","20250504","20250802"
"TA+R65+2","0","0","0","0","1","0","0","20250504","20250802"
"TA+R65#1+2","0","0","0","0","1","0","0","20250504","20250802"
"TA+R66+2","0","0","0","0","1","0","0","20250504","20250802"
"TA+R69+2","1","0","0","0","0","0","1","20250504","20250802"
"TA+TT21+2","0","0","0","0","0","1","0","20250504","20250802"
"TA+TT21#1+2","0","0","0","0","0","1","0","20250504","20250802"
"TA+uO+2","1","1","0","1","1","0","0","20250504","20250802"
"TA+uP+2","1","1","1","1","0","0","0","20250504","20250802"
"TA+uQ+2","1","0","0","0","0","0","0","20250504","20250802"
"TA+uR+2","0","1","1","1","1","0","0","20250504","20250802"
"TA+yi+2","1","1","1","1","1","0","0","20250504","20250802"
"TA+yi#1+2","1","1","1","1","1","0","0","20250504","20250802"
"TA+zt+2","1","1","1","1","0","0","1","20250504","20250802"
"TA+3","1","1","1","1","1","1","1","20250504","20250802"
"TA+43100+3","1","1","1","1","1","0","0","20250504","20250802"
"TA+aB+3","0","0","0","0","0","1","1","20250504","20250802"
"TA+aD+3","1","1","1","0","0","0","1","20250504","20250802"
"TA+cR+3","1","1","1","1","1","1","0","20250504","20250802"
"TA+cS+3","1","1","1","1","1","1","0","20250504","20250802"
"TA+dv000+3","0","0","0","0","0","1","1","20250504","20250802"
"TA+ha+3","0","0","0","1","0","0","0","20250504","20250802"
"TA+hr+3","1","1","1","1","0","0","0","20250504","20250802"
"TA+hr#1+3","1","1","1","1","0","0","0","20250504","20250802"
"TA+ij+3","1","1","1","1","1","0","0","20250504","20250802"
"TA+ik+3","1","1","1","1","1","0","0","20250504","20250802"
"TA+oT+3","1","1","1","1","1","0","0","20250504","20250802"
"TA+R118+3","0","0","0","0","0","0","1","20250504","20250504"
"TA+R118#1+3","0","0","0","0","0","1","1","20250509","20250511"
"TA+R124+3","1","1","1","1","0","0","0","20250504","20250802"
"TA+R143+3","0","0","0","0","1","1","0","20250509","20250511"
"TA+R144+3","1","1","1","1","1","0","1","20250504","20250802"
"TA+R52+3","1","1","1","1","1","0","0","20250504","20250802"
"TA+R53+3","1","1","1","1","1","0","0","20250504","20250802"
"TA+R53#1+3","1","1","1","1","1","0","0","20250504","20250802"
"TA+R59+3","0","0","0","0","1","0","0","20250504","20250802"
"TA+R59#1+3","0","0","0","0","1","0","0","20250504","20250802"
"TA+R65+3","0","0","0","0","1","0","0","20250504","20250802"
"TA+R65#1+3","0","0","0","0","1","0","0","20250504","20250802"
"TA+R66+3","0","0","0","0","1","0","0","20250504","20250802"
"TA+R69+3","1","0","0","0","0","0","1","20250504","20250802"
"TA+R69#1+3","1","0","0","0","0","0","1","20250504","20250802"
"TA+sS+3","1","1","1","1","1","0","0","20250504","20250802"
"TA+sT+3","1","1","1","1","0","0","1","20250504","20250802"
"TA+sU+3","1","1","1","1","1","0","0","20250504","20250802"
"TA+sW+3","1","1","1","1","0","0","1","20250504","20250802"
"TA+sY+3","1","1","1","1","1","0","0","20250504","20250802"
"TA+sZ+3","1","1","1","1","0","0","0","20250504","20250802"
"TA+TT21+3","0","0","0","0","0","1","0","20250504","20250802"
"TA+TT21#1+3","0","0","0","0","0","1","0","20250509","20250511"
"TA+TT21#2+3","0","0","0","0","0","1","0","20250504","20250802"
"TA+zz+3","1","1","1","1","1","1","0","20250504","20250802"
"TA+4","0","0","0","0","0","1","1","20250517","20250518"
"TA+0Z+4","1","1","1","1","1","0","0","20250504","20250802"
"TA+0Z#1+4","1","1","1","1","1","0","0","20250504","20250802"
"TA+0Z#2+4","1","1","1","1","1","0","0","20250504","20250802"
"TA+1A+4","0","0","0","0","0","1","0","20250504","20250802"
"TA+1B+4","1","1","1","1","1","1","0","20250504","20250802"
"TA+1C+4","0","0","0","0","0","1","1","20250504","20250802"
"TA+1D+4","1","1","1","1","1","1","0","20250504","20250802"
"TA+1E+4","1","1","1","1","0","0","0","20250504","20250802"
"TA+1F+4","1","1","1","1","1","1","0","20250504","20250802"
