note_id,note_text
"tw1","This service departs after midnight / early the following day"
"0t","Bus diverts from The Northern Rd via Andromeda Dr, Vincent Rd, Grays Lane, Hindmarsh St, Laycock St, Greygums Rd, McHenry Rd, Sherringham Rd, Pendock Rd, Borrowdale Way, Callisto Dr, Marrett Way, Goldmark Cres, Andromeda Dr, The Northern Rd, Fourth Ave, Terrybrook Rd & Seventh Ave"
"0u","Public school days, bus operates from Argyle St via Cox St, James St, Church St, Campbell St, George St & then normal route to Windsor Station then via George St, Hawkesbury Valley Way, Moses St, Tebbutt St, George St, Dight St, Macquarie St to Fitzgerald St, omitting part of George St and Suffolk St"
"0v","Public school days bus diverts from George St via Ham St, Church St, Rickaby St, George St, Woods Rd, Collith Ave, Rifle Range Rd, Sirius Rd, Colonial Dr, Alexander St, Colonial Dr & Rifle Range Rd to Porpoise Cres. Omits George St between Ham St & Rifle Range Rd, & Rifle Range Rd between George St & Colonial Dr"
"100","Public school days bus operates through timing point 10 minutes earlier than time shown"
"101","Bus commences at corner of Power St & Glendenning Rd 4 minutes earlier"
"102","Bus operates via Belmore St, Station St, Derby St, Castlereagh St, Lethbridge St & Parker St to Great Western Hwy, then via normal route"
"104","Bus operates via Bells Line of Road direct, omitting Kurrajong Rd & Woodburn Rd. Bus stops opposite Kurrajong Shopping Village"
"106","Bus operates via Mulgoa Rd direct to Silverdale Rd, omitting Wallacia loop"
"107","Public school days bus diverts from Derby St via Doonmore St, High St, Lawson St, Henry St & Riley St to Penrith Interchange, omitting Derby St & Station St between Doonmore St & Henry St"
"108","Bus operates to\from St Marys Station (north side) at time shown"
"110","Bus commences from Windsor High School (Mulgrave St) 3 minutes earlier"
"111","Public school days bus operates via Griffiths St, Wattle Ave, Jackaranda Rd, Debrincat Ave & Glossop St, omitting Forrester Rd & Glossop St between Griffiths St & Debrincat Ave"
"113","Public school days bus diverts from Queen St via Charles Hackett Dr, Pages Rd & Saddington St to Mamre Rd, then via normal route, omitting Queen St & Mamre Rd between Charles Hackett Dr & Saddington St"
"114","Bus operates from Vineyard Shops via Windsor Rd, Bandon Rd (opposite Windsor Country Village), then to Riverstone Station via Vineyard & Riverstone schools"
"118","Operates from Penrith Interchange via Nepean Shores to Mulgoa Rd, then returns to Penrith"
"119","Public school days bus extends to East Kurrajong, via Spinks Rd, Creek Ridge Rd, Putty Rd & East Kurrajong Rd to corner of Tennyson Rd"
"120","Bus continues to corner Luxford Rd & Chestnut Cres (near Daniels Rd)"
"121","Public school days bus diverts from corner Colonial Dr & Sirius Rd via Colonial Dr, Guardian Cres, Alexander St, Colonial Dr, Rifle Range Rd & Colonial Dr, then via normal route"
"123","Bus diverts via Plimsoll St & Old Hawkesbury Rd to Pitt Town Rd, omitting Wolseley Rd & Pitt Town Rd between Plimsoll St & Old Hawkesbury Rd"
"1241","Public school days bus diverts from Colonial Dr via Alexander St back to Colonial Dr, omitting part of Colonial Dr"
"1280","Bus diverts from corner Sherringham Rd & Pendock Rd via Sherringham Rd, The Northern Rd & Borrowdale Way, omitting part of Sherringham Rd"
"1281","Bus diverts from Borrowdale Way via Borrowdale Way, The Northern Rd & Sherringham Rd to McHenry Rd, omitting part of Sherringham Rd"
"1308","Bus diverts via Quakers Rd, Narrabri St, Bombala Cres & Ottley St to Arnott Rd, omitting Arnott Rd between Quakers Rd & Ottley St"
"131","Public school days bus diverts from Ridgeline Dr via Stanhope Pky, Hambledon Rd & Barnier Dr, omitting Wakely Av"
"1310","L - Public school days bus diverts from Colonial Dr via Alexander St back to Colonial Dr, omitting part of Colonial Dr. N - Public school days bus diverts from George St via Rickaby St, Church St, Ham St to George St, omitting part of George St"
"132","Public school days bus diverts from Jamison Rd via Doonmore St, High St, Lawson St, Henry St & Station St to Penrith Station, omitting Warwick St, Stafford St, Woodriff St, Derby St & part of Station St"
"133","Use route 668 for travel between Windsor and Wilberforce, or vice versa"
"1331","Trip commence at Charlotte St & Nicolaidis Cr 4 minutes earlier"
"134","Bus operates to\from Windsor via Hawkesbury Valley Way"
"137","Bus operates from Silverdale Rd via Farnsworth Ave to Weir Rd, omitting part of Silverdale Rd, Warradale Rd & Marsh Rd. Passengers for Silverdale should stay on bus & alight on return journey"
"139","Public school days bus diverts from Derby St via Castlereagh St, Lethbridge St, Colless St & Derby St, omitting Derby St between Castlereagh St & Colless St"
"145","Bus diverts public school days from Terrigal St via Breakfast, Crudge & Davis Rds, omitting part of Breakfast & Richmond Rds"
"1450","Bus operates from Caddens Rd & Ulm Rd via Caddens Rd, O'Connell La, Cadda Ridge Dr, Caddens Rd, Braeburn St, Cadda Ridge Dr, O'Connell La & Caddens Rd, returning to Ulm Rd"
"151","Bus commences from Buckwell Dr & Luxford Rd 2 minutes earlier"
