pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"2770591_277010_DP5_elevator_1","2770591","277010_DP5","5","1","60"
"2770592_277010_DP5_elevator_1","2770592","277010_DP5","5","1","60"
"2770591_277010_DP7_walkway_1","2770591","277010_DP7","1","1","30"
"2770592_277010_DP7_walkway_1","2770592","277010_DP7","1","1","30"
"2770591_277010_CNC_stairs_1","2770591","277010_CNC","2","1","30"
"2770592_277010_CNC_stairs_1","2770592","277010_CNC","2","1","30"
"2770593_277010_DP6_elevator_1","2770593","277010_DP6","5","1","60"
"2770594_277010_DP6_elevator_1","2770594","277010_DP6","5","1","60"
"2770593_277010_CNC_stairs_1","2770593","277010_CNC","2","1","30"
"2770594_277010_CNC_stairs_1","2770594","277010_CNC","2","1","30"
"2770593_277010_DP8_walkway_1","2770593","277010_DP8","1","1","30"
"2770594_277010_DP8_walkway_1","2770594","277010_DP8","1","1","30"
"277079_2770380_walkway_1","277079","2770380","1","1","120"
"2770139_2770380_walkway_1","2770139","2770380","1","1","120"
"2770102_2770380_walkway_1","2770102","2770380","1","1","120"
"277060_2770380_walkway_1","277060","2770380","1","1","120"
"2770251_2770380_walkway_1","2770251","2770380","1","1","120"
"277079_277010_ENT1_walkway_1","277079","277010_ENT1","1","1","30"
"2770139_277010_ENT1_walkway_1","2770139","277010_ENT1","1","1","30"
"2770102_277010_ENT1_walkway_1","2770102","277010_ENT1","1","1","30"
"277060_277010_ENT1_walkway_1","277060","277010_ENT1","1","1","30"
"2770251_277010_ENT1_walkway_1","2770251","277010_ENT1","1","1","30"
"277079_277010_ENT2_walkway_1","277079","277010_ENT2","1","1","60"
"2770139_277010_ENT2_walkway_1","2770139","277010_ENT2","1","1","60"
"2770102_277010_ENT2_walkway_1","2770102","277010_ENT2","1","1","60"
"277060_277010_ENT2_walkway_1","277060","277010_ENT2","1","1","60"
"2770251_277010_ENT2_walkway_1","2770251","277010_ENT2","1","1","60"
"2770506_277010_DP2_elevator_1","2770506","277010_DP2","5","1","60"
"2770507_277010_DP2_elevator_1","2770507","277010_DP2","5","1","60"
"2770508_277010_DP2_elevator_1","2770508","277010_DP2","5","1","60"
"2770506_277010_DP2_stairs_1","2770506","277010_DP2","2","1","30"
"2770507_277010_DP2_stairs_1","2770507","277010_DP2","2","1","30"
"2770508_277010_DP2_stairs_1","2770508","277010_DP2","2","1","30"
"2770380_277010_ENT3_walkway_1","2770380","277010_ENT3","1","1","42"
"2770581_277010_ENT4_walkway_1","2770581","277010_ENT4","1","1","60"
"2770582_2770203_walkway_1","2770582","2770203","1","1","180"
"2770582_277010_ENT6_walkway_1","2770582","277010_ENT6","1","1","90"
"2770203_277010_ENT7_walkway_1","2770203","277010_ENT7","1","1","120"
"2770203_277010_ENT5_walkway_1","2770203","277010_ENT5","1","1","180"
"2770203_277010_ENT6_walkway_1","2770203","277010_ENT6","1","1","180"
"277010_ENT1_277010_DP1_stairs_1","277010_ENT1","277010_DP1","2","1","60"
"277010_ENT2_277010_DP1_elevator_1","277010_ENT2","277010_DP1","5","1","60"
"277010_ENT3_277010_DP1_stairs_1","277010_ENT3","277010_DP1","2","1","30"
"277010_ENT3_277010_DP1_escalator_1","277010_ENT3","277010_DP1","4","1","18"
"277010_DP1_277010_DP2_walkway_1","277010_DP1","277010_DP2","1","1","60"
"277010_DP1_277010_DP3_walkway_1","277010_DP1","277010_DP3","1","1","60"
"277010_ENT4_277010_DP3_elevator_1","277010_ENT4","277010_DP3","5","1","60"
"277010_ENT4_277010_DP3_stairs_1","277010_ENT4","277010_DP3","2","1","30"
"277010_DP3_277010_DP4_walkway_1","277010_DP3","277010_DP4","1","1","18"
"277010_DP4_277010_DP9_walkway_1","277010_DP4","277010_DP9","1","1","18"
"277010_DP4_277010_CNC_fare_gate_0","277010_DP4","277010_CNC","6","0","6"
"277010_CNC_277010_DP4_exit_gate_0","277010_CNC","277010_DP4","7","0","6"
"277010_CNC_277010_DP5_walkway_1","277010_CNC","277010_DP5","1","1","18"
"277010_CNC_277010_DP6_walkway_1","277010_CNC","277010_DP6","1","1","18"
"277010_DP9_277010_ENT7_walkway_1","277010_DP9","277010_ENT7","1","1","90"
"277010_DP9_277010_ENT5_stairs_1","277010_DP9","277010_ENT5","2","1","30"
"277010_DP9_277010_ENT6_elevator_1","277010_DP9","277010_ENT6","5","1","60"
"2770591_2770592_walkway_1","2770591","2770592","1","1","120"
"2770593_2770594_walkway_1","2770593","2770594","1","1","120"
"277079_2770139_walkway_1","277079","2770139","1","1","120"
"2770506_2770507_walkway_1","2770506","2770507","1","1","120"
"2760301_276010_DP4_stairs_1","2760301","276010_DP4","2","1","30"
"2760302_276010_DP4_stairs_1","2760302","276010_DP4","2","1","30"
"2760301_276010_DP4_elevator_1","2760301","276010_DP4","5","1","60"
"2760302_276010_DP4_elevator_1","2760302","276010_DP4","5","1","60"
"2760303_276010_DP5_stairs_1","2760303","276010_DP5","2","1","30"
"2760304_276010_DP5_stairs_1","2760304","276010_DP5","2","1","30"
"2760303_276010_DP5_elevator_1","2760303","276010_DP5","5","1","60"
"2760304_276010_DP5_elevator_1","2760304","276010_DP5","5","1","60"
"276039_276010_ENT1_walkway_1","276039","276010_ENT1","1","1","60"
"2760215_276010_ENT1_walkway_1","2760215","276010_ENT1","1","1","60"
"276039_276010_ENT2_walkway_1","276039","276010_ENT2","1","1","60"
"2760215_276010_ENT2_walkway_1","2760215","276010_ENT2","1","1","60"
"276039_2760230_walkway_1","276039","2760230","1","1","120"
"2760215_2760230_walkway_1","2760215","2760230","1","1","120"
"276039_2760231_walkway_1","276039","2760231","1","1","180"
"276039_2760232_walkway_1","276039","2760232","1","1","180"
"2760215_2760231_walkway_1","2760215","2760231","1","1","180"
"2760215_2760232_walkway_1","2760215","2760232","1","1","180"
"2760178_276010_ENT3_walkway_1","2760178","276010_ENT3","1","1","60"
"2760178_276010_ENT4_walkway_1","2760178","276010_ENT4","1","1","60"
"2760230_2760231_walkway_1","2760230","2760231","1","1","60"
"2760230_2760232_walkway_1","2760230","2760232","1","1","60"
"2760230_276010_ENT1_walkway_1","2760230","276010_ENT1","1","1","90"
"2760230_276010_ENT2_walkway_1","2760230","276010_ENT2","1","1","90"
"276010_ENT1_276010_DP1_stairs_1","276010_ENT1","276010_DP1","2","1","30"
"276010_ENT1_276010_TXI1_walkway_1","276010_ENT1","276010_TXI1","1","1","30"
"276010_ENT1_276010_KAR1_walkway_1","276010_ENT1","276010_KAR1","1","1","30"
"276010_ENT2_276010_DP1_elevator_1","276010_ENT2","276010_DP1","5","1","60"
"276010_ENT2_276010_TXI1_walkway_1","276010_ENT2","276010_TXI1","1","1","60"
"276010_ENT2_276010_KAR1_walkway_1","276010_ENT2","276010_KAR1","1","1","60"
"276010_DP1_276010_DP2_walkway_1","276010_DP1","276010_DP2","1","1","30"
"276010_DP2_276010_CNC_walkway_1","276010_DP2","276010_CNC","1","1","12"
"276010_DP2_276010_DP3_walkway_1","276010_DP2","276010_DP3","1","1","24"
"276010_CNC_276010_DP5_walkway_1","276010_CNC","276010_DP5","1","1","18"
"276010_CNC_276010_DP4_walkway_1","276010_CNC","276010_DP4","1","1","18"
"276010_DP3_276010_ENT3_stairs_1","276010_DP3","276010_ENT3","2","1","30"
"276010_DP3_276010_ENT4_elevator_1","276010_DP3","276010_ENT4","5","1","60"
"276010_ENT3_276010_DP6_walkway_1","276010_ENT3","276010_DP6","1","1","30"
"276010_ENT3_276010_KAR2_walkway_1","276010_ENT3","276010_KAR2","1","1","60"
"276010_ENT3_276010_TXI2_walkway_1","276010_ENT3","276010_TXI2","1","1","36"
"276010_ENT4_276010_DP6_walkway_1","276010_ENT4","276010_DP6","1","1","18"
"276010_ENT4_276010_KAR2_walkway_1","276010_ENT4","276010_KAR2","1","1","60"
"276010_ENT4_276010_TXI2_walkway_1","276010_ENT4","276010_TXI2","1","1","36"
"276010_DP6_276010_CCP1_elevator_1","276010_DP6","276010_CCP1","5","1","90"
"2760301_2760302_walkway_1","2760301","2760302","1","1","120"
"2760303_2760304_walkway_1","2760303","2760304","1","1","120"
"276039_2760215_walkway_1","276039","2760215","1","1","120"
"2760231_2760232_walkway_1","2760231","2760232","1","1","120"
"2747371_274710_ENT3_walkway_1","2747371","274710_ENT3","1","1","30"
"2747372_274710_ENT1_walkway_1","2747372","274710_ENT1","1","1","18"
"2747210_274710_ENT3_walkway_1","2747210","274710_ENT3","1","1","102"
"274710_ENT1_274710_DP1_walkway_1","274710_ENT1","274710_DP1","1","1","18"
"274710_ENT1_274710_TXI1_walkway_1","274710_ENT1","274710_TXI1","1","1","72"
"274710_ENT1_274710_CCP1_walkway_1","274710_ENT1","274710_CCP1","1","1","30"
"274710_ENT1_274710_KAR1_walkway_1","274710_ENT1","274710_KAR1","1","1","60"
"274710_DP1_274710_DP2_stairs_1","274710_DP1","274710_DP2","2","1","30"
"274710_DP1_274710_DP2_elevator_1","274710_DP1","274710_DP2","5","1","60"
"274710_DP2_274710_DP3_walkway_1","274710_DP2","274710_DP3","1","1","18"
"274710_DP3_274710_ENT3_stairs_1","274710_DP3","274710_ENT3","2","1","30"
"274710_DP3_274710_ENT3_elevator_1","274710_DP3","274710_ENT3","5","1","60"
"274710_ENT3_274710_LKR1_walkway_1","274710_ENT3","274710_LKR1","1","1","36"
"274710_ENT3_274710_TXI2_walkway_1","274710_ENT3","274710_TXI2","1","1","60"
"274710_ENT3_274710_CCP2_walkway_1","274710_ENT3","274710_CCP2","1","1","210"
"2747361_274720_ENT1_walkway_1","2747361","274720_ENT1","1","1","6"
"2747361_274720_ENT3_walkway_1","2747361","274720_ENT3","1","1","18"
"2747361_274720_DP2_elevator_1","2747361","274720_DP2","5","1","60"
"2747362_274720_ENT6_walkway_1","2747362","274720_ENT6","1","1","6"
