route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,exact_times
"1-11S-H-sj2-1","700","11SH","Glenfield, Campbelltown, Picton, Mittagong, Bowral, Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-27S-C-sj2-1","700","27SC","Wollongong, then all stations to Port Kembla","Temporary buses","714","00B5EF","FFFFFF","1"
"1-27T-8-sj2-1","700","27T8","Liverpool, then all stations to Macarthur","Temporary buses","714","00B5EF","FFFFFF","1"
"1-31C-N-sj2-1","700","31CN","Morisset, then all stations to Newcastle","Temporary buses","714","00B5EF","FFFFFF","1"
"1-32C-N-sj2-1","700","32CN","Morisset, then Fassifern, Cardiff, Broadmeadow, Hamilton, Newcastle","Temporary buses","714","00B5EF","FFFFFF","1"
"1-45C-N-sj2-2","700","45CN","Newcastle, then all stations to Wyong","Temporary buses","714","00B5EF","FFFFFF","1"
"1-48C-N-sj2-2","700","48CN","Newcastle, then all stations to Broadmeadow, Cardiff, Fassifern, Morisset, Wyong","Temporary buses","714","00B5EF","FFFFFF","1"
"1-5SH-sj2-1","700","5SH","Moss Vale, then all stations to Goulburn","Temporary buses","714","00B5EF","FFFFFF","1"
"1-5SH-sj2-5","700","5SH","Moss Vale, then all stations to Goulburn","Temporary buses","714","00B5EF","FFFFFF","1"
"1-5SH-sj2-6","700","5SH","Moss Vale, then all stations to Goulburn","Temporary buses","714","00B5EF","FFFFFF","1"
"1-5SH-sj2-7","700","5SH","Moss Vale, then all stations to Goulburn","Temporary buses","714","00B5EF","FFFFFF","1"
"1-5SH-sj2-8","700","5SH","Moss Vale, then all stations to Goulburn","Temporary buses","714","00B5EF","FFFFFF","1"
"1-65T-8-sj2-1","700","65T8","Central, then International Airport (Loop Service)","Temporary buses","714","00B5EF","FFFFFF","1"
"1-66T-8-sj2-1","700","66T8","Central, then Domestic Airport (Loop Service)","Temporary buses","714","00B5EF","FFFFFF","1"
"1-6AS-H-sj2-1","700","6ASH","Campbelltown, then all stations to Bundanoon","Temporary buses","714","00B5EF","FFFFFF","1"
"1-6SH-sj2-1","700","6SH","Campbelltown, then all stations to Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-6SH-sj2-5","700","6SH","Campbelltown, then all stations to Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-6SH-sj2-6","700","6SH","Campbelltown, then all stations to Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-6SH-sj2-7","700","6SH","Campbelltown, then all stations to Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-6SH-sj2-8","700","6SH","Campbelltown, then all stations to Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-71T-1-sj2-2","700","71T1","Blacktown, then Penrtih","Temporary buses","714","00B5EF","FFFFFF","1"
"1-85T-1-sj2-1","700","85T1","Blacktown, then all Stations to Emu Plains","Temporary buses","714","00B5EF","FFFFFF","1"
"1-85T-9-sj2-1","700","85T9","West Ryde, Denistone, Eastwood (Loop Service)","Temporary buses","714","00B5EF","FFFFFF","1"
"1-9SH-sj2-5","700","9SH","Campbelltown, Picton, Mittagong, Bowral, Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-9SH-sj2-6","700","9SH","Campbelltown, Picton, Mittagong, Bowral, Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-9SH-sj2-7","700","9SH","Campbelltown, Picton, Mittagong, Bowral, Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-9SH-sj2-8","700","9SH","Campbelltown, Picton, Mittagong, Bowral, Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-SC0-1-sj2-2","701","SC01","Kiama to Bomaderry","Illawarra Buses Network","700","00B5EF","FFFFFF","1"
