route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,exact_times
"14-260-6-sj2-1","2504","2606","Baulkham Hills HS to Bella Vista Station","School buses","712","00B5EF","FFFFFF","1"
"26-200-0-sj2-1","2606","2000","Melville St near Cullens Rd to Green Point College","School buses","712","00B5EF","FFFFFF","1"
"26-200-1-sj2-1","2606","2001","Springs Rd after George Downes Dr to to Central Coast Adventist","School buses","712","00B5EF","FFFFFF","1"
"26-200-2-sj2-1","2606","2002","Ettalong Memorial Club to Umina PS","School buses","712","00B5EF","FFFFFF","1"
"26-200-3-sj2-1","2606","2003","Karalta Rd to Star of the Sea PS","School buses","712","00B5EF","FFFFFF","1"
"26-200-4-sj2-1","2606","2004","Cape Three Points Rd to Gosford Station via Erina","School buses","712","00B5EF","FFFFFF","1"
"26-200-5-sj2-1","2606","2005","110 Avoca Dr to Erina HS","School buses","712","00B5EF","FFFFFF","1"
"26-200-6-sj2-1","2606","2006","George Downes Dr at Walkers Ridge Rd to St Philips College","School buses","712","00B5EF","FFFFFF","1"
"26-200-7-sj2-1","2606","2007","Bradleys Rd after Scenic Hwy to St Patricks PS","School buses","712","00B5EF","FFFFFF","1"
"26-200-8-sj2-1","2606","2008","Wyoming PS to Narara Valley HS","School buses","712","00B5EF","FFFFFF","1"
"26-200-9-sj2-1","2606","2009","Umina PS to Ettalong PS","School buses","712","00B5EF","FFFFFF","1"
"26-201-0-sj2-1","2606","2010","Mt White to Henry Kendall HS","School buses","712","00B5EF","FFFFFF","1"
"26-201-1-sj2-1","2606","2011","Woy Woy Station to Point Clare PS","School buses","712","00B5EF","FFFFFF","1"
"26-201-2-sj2-1","2606","2012","West St to Ettalong Memorial Club","School buses","712","00B5EF","FFFFFF","1"
"26-201-3-sj2-1","2606","2013","Kariong Mountains HS to Somersby PS","School buses","712","00B5EF","FFFFFF","1"
"26-201-4-sj2-1","2606","2014","Curringa Rd after Arunta Av to Kariong Mountains HS","School buses","712","00B5EF","FFFFFF","1"
"26-201-5-sj2-1","2606","2015","Robert St near Orange Pde to Narara Valley HS","School buses","712","00B5EF","FFFFFF","1"
"26-201-6-sj2-1","2606","2016","West St to Ettalong Memorial Club","School buses","712","00B5EF","FFFFFF","1"
"26-201-7-sj2-1","2606","2017","Warrawilla Rd near Rain Forest Rd to Narara Valley HS","School buses","712","00B5EF","FFFFFF","1"
"26-201-8-sj2-1","2606","2018","Copacabana Dr to Holy Cross PS via Cullens Rd","School buses","712","00B5EF","FFFFFF","1"
"26-201-9-sj2-1","2606","2019","Wisemans Ferry Rd Opp Berecry Rd to Kariong Mountains HS","School buses","712","00B5EF","FFFFFF","1"
"26-202-0-sj2-1","2606","2020","Ridgeway Rd to Avoca Beach PS via The Round Dr","School buses","712","00B5EF","FFFFFF","1"
"26-202-1-sj2-1","2606","2021","Curringa Rd after Arunta Av to Narara Valley HS","School buses","712","00B5EF","FFFFFF","1"
"26-202-2-sj2-1","2606","2022","Alan St to Narara Valley HS","School buses","712","00B5EF","FFFFFF","1"
"26-202-3-sj2-1","2606","2023","Pacific Hwy near Berrys Head Rd to Narara Valley HS","School buses","712","00B5EF","FFFFFF","1"
"26-202-4-sj2-1","2606","2024","Turpentine St at Diosma St to Narara Valley HS","School buses","712","00B5EF","FFFFFF","1"
"26-202-5-sj2-1","2606","2025","Cape Three Points Rd to St Patricks PS","School buses","712","00B5EF","FFFFFF","1"
"26-202-6-sj2-1","2606","2026","Castle Cct to Umina PS","School buses","712","00B5EF","FFFFFF","1"
"26-202-7-sj2-1","2606","2027","St John the Baptist PS to Woy Woy PS","School buses","712","00B5EF","FFFFFF","1"
