route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,route_direction,trip_note,bikes_allowed
"14-260-6-sj2-1","TA+4x+5","2448401","14-260-6-sj2-1.2.H","Bella Vista Station","0","","2","Baulkham Hills HS to Bella Vista Station","",""
"14-260-6-sj2-1","TA+7j000#1+5","2448555","14-260-6-sj2-1.1.H","Baulkham Hills","0","","2","Baulkham Hills HS to Bella Vista Station","",""
"26-200-0-sj2-1","TA+R52+8","2187999","26-200-0-sj2-1.1.R","Green Pt Christian College","1","","2","Melville St near Cullens Rd to Green Point College","",""
"26-200-1-sj2-1","TA+R52+8","2449403","26-200-1-sj2-1.1.R","Cc Adventist","1","","2","Springs Rd after George Downes Dr to to Central Coast Adventist","",""
"26-200-2-sj2-1","TA+R52+8","2186419","26-200-2-sj2-1.1.R","Umina PS","1","","2","Ettalong Memorial Club to Umina PS","",""
"26-200-3-sj2-1","TA+R52+8","2187473","26-200-3-sj2-1.1.R","Star Of The Sea PS","1","","2","Karalta Rd to Star of the Sea PS","",""
"26-200-4-sj2-1","TA+R52+8","2187629","26-200-4-sj2-1.1.R","Gosford Stn","1","","2","Cape Three Points Rd to Gosford Station via Erina","",""
"26-200-5-sj2-1","TA+R52+8","2186435","26-200-5-sj2-1.1.R","Erina HS","1","","2","110 Avoca Dr to Erina HS","",""
"26-200-6-sj2-1","TA+R52+8","2413984","26-200-6-sj2-1.1.R","St Philips Christian","1","","2","George Downes Dr at Walkers Ridge Rd to St Philips College","",""
"26-200-7-sj2-1","TA+R52+8","2186709","26-200-7-sj2-1.1.R","St Patricks","1","","2","Bradleys Rd after Scenic Hwy to St Patricks PS","",""
"26-200-8-sj2-1","TA+R52+8","2387414","26-200-8-sj2-1.1.R","Narara Valley HS","1","","2","Wyoming PS to Narara Valley HS","",""
"26-200-9-sj2-1","TA+R52+8","2186336","26-200-9-sj2-1.1.R","Ettalong PS","1","","2","Umina PS to Ettalong PS","",""
"26-201-0-sj2-1","TA+R52+8","2414068","26-201-0-sj2-1.1.R","Henry Kendall HS Racecourse Rd","1","","2","Mt White to Henry Kendall HS","",""
"26-201-1-sj2-1","TA+R52+8","2187392","26-201-1-sj2-1.1.R","Pt Clare PS","1","","2","Woy Woy Station to Point Clare PS","",""
"26-201-2-sj2-1","TA+R52+8","2186432","26-201-2-sj2-1.1.R","Ettalong Beach","1","","2","West St to Ettalong Memorial Club","",""
"26-201-3-sj2-1","TA+R52+8","2186165","26-201-3-sj2-1.1.R","Somersby PS","1","","2","Kariong Mountains HS to Somersby PS","",""
"26-201-4-sj2-1","TA+R52+8","2187338","26-201-4-sj2-1.1.R","Kariong Mountains HS","1","","2","Curringa Rd after Arunta Av to Kariong Mountains HS","",""
"26-201-5-sj2-1","TA+R52+8","2186560","26-201-5-sj2-1.1.R","Narara Valley HS","1","","2","Robert St near Orange Pde to Narara Valley HS","",""
"26-201-6-sj2-1","TA+R52+8","2187733","26-201-6-sj2-1.1.R","Ettalong Beach","1","","2","West St to Ettalong Memorial Club","",""
"26-201-7-sj2-1","TA+R52+8","2387431","26-201-7-sj2-1.1.R","Narara Valley HS","1","","2","Warrawilla Rd near Rain Forest Rd to Narara Valley HS","",""
"26-201-8-sj2-1","TA+R52+8","2186311","26-201-8-sj2-1.1.R","Holy Cross Primary","1","","2","Copacabana Dr to Holy Cross PS via Cullens Rd","",""
"26-201-9-sj2-1","TA+R52+8","2187915","26-201-9-sj2-1.1.R","Kariong Mountains HS","1","","2","Wisemans Ferry Rd Opp Berecry Rd to Kariong Mountains HS","",""
"26-202-0-sj2-1","TA+R52+8","2186961","26-202-0-sj2-1.1.R","Avoca PS","1","","2","Ridgeway Rd to Avoca Beach PS via The Round Dr","",""
"26-202-1-sj2-1","TA+R52+8","2413685","26-202-1-sj2-1.1.R","Narara Valley HS","1","","2","Curringa Rd after Arunta Av to Narara Valley HS","",""
"26-202-2-sj2-1","TA+R52+8","2187790","26-202-2-sj2-1.1.R","Narara Valley HS","1","","2","Alan St to Narara Valley HS","",""
"26-202-3-sj2-1","TA+R52+8","2295480","26-202-3-sj2-1.1.R","Narara Valley HS","1","","2","Pacific Hwy near Berrys Head Rd to Narara Valley HS","",""
"26-202-4-sj2-1","TA+R52+8","2187237","26-202-4-sj2-1.1.R","Narara Valley HS","1","","2","Turpentine St at Diosma St to Narara Valley HS","",""
"26-202-5-sj2-1","TA+R52+8","2187864","26-202-5-sj2-1.1.R","St Patricks","1","","2","Cape Three Points Rd to St Patricks PS","",""
"26-202-6-sj2-1","TA+R52+8","2187415","26-202-6-sj2-1.1.R","Umina PS","1","","2","Castle Cct to Umina PS","",""
"26-202-7-sj2-1","TA+R52+8","2187058","26-202-7-sj2-1.1.R","Woy Woy PS","1","","2","St John the Baptist PS to Woy Woy PS","",""
"26-202-8-sj2-1","TA+R52+8","2186320","26-202-8-sj2-1.1.R","St John The Baptist PS","1","","2","Woy Woy Station to St John the Baptist PS","",""
"26-202-9-sj2-1","TA+R52+8","2449398","26-202-9-sj2-1.1.R","Terrigal PS","1","","2","Cape Three Points Rd to Terrigal PS","",""
"26-203-0-sj2-1","TA+R52+8","2186931","26-203-0-sj2-1.1.R","Woy Woy Sth PS","1","","2","Castle Cct to Woy Woy South PS","",""
"26-203-1-sj2-1","TA+R52+8","2188222","26-203-1-sj2-1.1.R","St Patricks","1","","2","Erina HS to St Patricks PS","",""
"26-203-2-sj2-1","TA+R52+8","2186998","26-203-2-sj2-1.1.R","St John The Baptist PS","1","","2","Empire Bay Dr after The Scenic Rd to St John the Baptist PS","",""
